name,spectral_type
HR     1, A0Vn_lB"
HR    10, A3Vn_sh"
HR   100, A5IVn"
HR  1000, K3III:"
HR  1001, F6V"
HR  1002, A3V"
HR  1003, M3III-IIIaCa-1"
HR  1004, M1III"
HR  1005, B5IV"
HR  1006, G2.5VHdel1"
HR  1007, G9IIIBa0.2"
HR  1008, G6V"
HR  1009, M0II"
HR   101, G6IIIFe-1"
HR  1010, G1V"
HR  1011, B5V"
HR  1012, G5III"
HR  1013, F7V"
HR  1014, A3V"
HR  1015, K3III"
HR  1016, G7IIbCN-1Hdel-1"
HR  1017, F5Ib"
HR  1018, A1V"
HR  1019, A0V"
HR   102, K0III"
HR  1020, A9III-IV"
HR  1021, K0III"
HR  1022, K4III"
HR  1023, G2III:CH-1:"
HR  1024, G5/6V"
HR  1025, F5IV-V"
HR  1026, A0V"
HR  1027, A1V"
HR  1028, K0III-IV"
HR  1029, B7V"
HR   103, M3III"
HR  1030, G6III"
HR  1031, K3III"
HR  1032, M2III"
HR  1033, B9V"
HR  1034, B5V"
HR  1035, B9Ia"
HR  1036, A3V"
HR  1037, B6Vn"
HR  1038, B9Vn"
HR  1039, A0Vs"
HR   104, A2Vs"
HR  1040, A0Ia"
HR  1041, A2V"
HR  1042, A1IV"
HR  1043, A2V"
HR  1044, B3V"
HR  1045, K0III"
HR  1046, A1Va"
HR  1047, B7Vne"
HR  1048, G9IV"
HR  1049, A0V"
HR   105, M2/3III"
HR  1050, K2II/III"
HR  1051, B8V"
HR  1052, K3-III"
HR  1053, A3/5V+G0/5"
HR  1054, K2III"
HR  1055, A0Vn"
HR  1056, A0Vn"
HR  1057, K1IV"
HR  1058, A1V"
HR  1059, B9II:"
HR   106, K5III"
HR  1060, K0III"
HR  1061, A0Vn"
HR  1062, A9VnkA5mA5"
HR  1063, B9III"
HR  1064, F5V"
HR  1065, A1V"
HR  1066, K0-III"
HR  1067, G8III"
HR  1068, kA4hA5mA6(V)"
HR  1069, F4III"
HR   107, F5VSr"
HR  1070, B9III"
HR  1071, F7V"
HR  1072, B2IV"
HR  1073, A3V"
HR  1074, B1V"
HR  1075, A5V"
HR  1076, F7V"
HR  1077, F3V"
HR  1078, A3V"
HR  1079, B9III"
HR   108, F9VFe+0.5"
HR  1080, G9III-IV"
HR  1081, A1V"
HR  1082, A3IV/V"
HR  1083, F3IV/V"
HR  1084, K2V"
HR  1085, K0.5IVFe-1"
HR  1086, A3IVs"
HR  1087, B5Ve"
HR  1088, B9V"
HR  1089, G0"
HR   109, M0III"
HR  1090, K2III"
HR  1091, A0V"
HR  1092, B8IV"
HR  1093, F4V+F6V"
HR  1094, B9p"
HR  1095, K3III"
HR  1096, K0III"
HR  1097, B8Vn"
HR  1098, K0III"
HR  1099, K2:Vnk"
HR    11, ApSi"
HR   110, G5III"
HR  1100, B8/9III"
HR  1101, F9IV-V"
HR  1102, A5IV"
HR  1103, A4III"
HR  1104, A3V"
HR  1105, S3.5/2"
HR  1106, K1III"
HR  1107, F5IV"
HR  1108, G8.5IIIb"
HR  1109, G8III"
HR   111, K0III"
HR  1110, K0III"
HR  1111, K0IV"
HR  1112, K3.5IIIb+G"
HR  1113, B7Vn"
HR  1114, A0V"
HR  1115, K0III"
HR  1116, K0III"
HR  1117, G8/K0III"
HR  1118, A2IV"
HR  1119, K0III"
HR   112, K0IV"
HR  1120, G8/K0III+(G)"
HR  1121, B9IIIpSi4200"
HR  1122, B5III"
HR  1123, B0.5V"
HR  1124, F1IVnn"
HR  1125, F2III"
HR  1126, B7Ve"
HR  1127, K4III"
HR  1128, A3IV/V"
HR  1129, G2Ib/II+B7III/IV"
HR   113, B7IV"
HR  1130, A7IV"
HR  1131, B1III"
HR  1132, G8III"
HR  1133, A2m"
HR  1134, B5III"
HR  1135, F4II"
HR  1136, K0+IV"
HR  1137, A0Vp_lB"
HR  1138, kA2hA6VmA7"
HR  1139, A5III-IV"
HR   114, A7III"
HR  1140, B7IV"
HR  1141, B6V"
